accountId,matchId,visionScore
30911457,1404132523,9
30911457,1404107858,11
30911457,1403673648,10
30911457,1403485119,9
30911457,1402142381,4
30911457,1401822648,0
30911457,1401570870,15
30911457,1401189826,8
30911457,1399765179,0
30911457,1399740225,7
16383228,1404931387,22
16383228,1404888406,8
16383228,1404844999,4
16383228,1404487659,7
16383228,1404295151,11
16383228,1404132523,9
16383228,1404107858,6
16383228,1404068938,6
16383228,1403933626,9
16383228,1403485119,16
20522261,1404896451,5
20522261,1404892849,0
20522261,1404855144,8
20522261,1404831908,8
20522261,1404243425,9
20522261,1404132523,25
20522261,1403423951,6
20522261,1402918870,9
20522261,1402757195,3
20522261,1402350112,15
5241235,1404154988,34
5241235,1404132523,41
5241235,1399748390,22
5241235,1399723876,23
5241235,1395652866,41
5241235,1395636617,0
5241235,1395602756,23
5241235,1395582890,7
5241235,1394876986,56
5241235,1394836867,19
25426218,1404220353,36
25426218,1404197488,23
25426218,1404154988,60
25426218,1404132523,32
25426218,1401508350,3
25426218,1401472752,45
25426218,1401251213,115
25426218,1401120452,7
25426218,1401112898,20
25426218,1401068980,18
27364809,1404132523,28
27364809,1404110653,15
27364809,1385830839,18
27364809,1384031437,28
27364809,1382562506,3
27364809,1379504753,8
27364809,1378620056,22
27364809,1378601436,17
27364809,1374637046,12
27364809,1374496213,26
31276083,1404394483,9
31276083,1404132523,16
31276083,1404110653,19
31276083,1403371594,26
31276083,1403317453,50
31276083,1403313891,1
31276083,1402109298,13
31276083,1402041640,18
31276083,1401996117,27
31276083,1401973643,3
16955074,1404165876,36
16955074,1404132523,19
16955074,1402150614,18
16955074,1373713158,17
16955074,1373694607,7
16955074,1355171044,21
16955074,1355162353,31
16955074,1352734707,13
16955074,1352676523,40
16955074,1352194213,30
18905179,1404931545,12
18905179,1404132523,15
18905179,1404018145,12
18905179,1403813187,14
18905179,1403636190,13
18905179,1403485252,19
18905179,1403469121,22
18905179,1403454481,24
18905179,1403434437,24
18905179,1402114191,25
7511082,1404860014,14
7511082,1404480565,37
7511082,1404210179,1
7511082,1404197437,23
7511082,1404205491,1
7511082,1404191092,15
7511082,1404177303,8
7511082,1404132523,19
7511082,1403766777,35
7511082,1403737057,25
17044254,1404919635,3
17044254,1404895096,9
17044254,1404864266,3
17044254,1404833839,15
17044254,1404741145,12
17044254,1404603036,5
17044254,1404537986,9
17044254,1404107858,9
17044254,1404058916,5
17044254,1404030860,14
29264343,1404596000,19
29264343,1404583843,26
29264343,1404552181,18
29264343,1404518258,0
29264343,1404107858,14
29264343,1404081368,20
29264343,1404045879,19
29264343,1403989283,13
29264343,1403984006,0
29264343,1403819084,20
6352578,1404871628,13
6352578,1404852187,14
6352578,1404797770,20
6352578,1404639100,25
6352578,1404603103,17
6352578,1404558076,14
6352578,1404456038,21
6352578,1404441195,17
6352578,1404409538,16
6352578,1404380540,16
22754118,1404854163,7
22754118,1404398094,7
22754118,1404190789,20
22754118,1404107858,21
22754118,1403636686,22
22754118,1403423302,6
22754118,1403191392,19
22754118,1403121638,17
22754118,1402762908,11
22754118,1402719707,11
27152749,1404194529,12
27152749,1404176810,39
27152749,1404181045,15
27152749,1404151679,46
27152749,1404130418,34
27152749,1404107858,32
27152749,1403528374,88
27152749,1403484444,41
27152749,1403478423,33
27152749,1403461223,65
13284892,1404927687,11
13284892,1404933451,0
13284892,1404899032,39
13284892,1404863882,24
13284892,1404843869,8
13284892,1404832596,13
13284892,1404734633,14
13284892,1404161664,9
13284892,1404132040,12
13284892,1404107858,12
29215953,1404927620,18
29215953,1404904842,12
29215953,1404891299,41
29215953,1404832596,10
29215953,1404818577,1
29215953,1404736892,24
29215953,1404641443,47
29215953,1404576853,10
29215953,1404155384,20
29215953,1404141110,37
14764634,1404932568,11
